highPE_highNorm,highPE_lowNorm,lowPE_highNorm,lowPE_lowNorm
80.7692,88,75,70.5882
87.5,80,65.3846,75
65.2174,62.5,72.7273,67.8571
80.7692,87.5,68.1818,66.6667
78.2609,76,72.2222,68.4211
61.5385,92.3077,76.1905,100
54.1667,65.3846,59.2593,76.4706
