highPE_highNorm,highPE_lowNorm,lowPE_highNorm,lowPE_lowNorm
72.94,70.4694,69.8333,53.8947
86.38,86.5306,79.1452,81.9
80.4375,82.8269,70.1346,77.4231
99.1569,99.5714,95.0597,100
90.75,89.7,46.4681,99.4808
60.25,60.102,39.069,73.3269
