highPE_highNorm,highPE_lowNorm,lowPE_highNorm,lowPE_lowNorm
78.2692,86.44,53.25,54.9412
78.2917,61.76,29.8462,33.4167
75.2609,77.0417,59.3182,59.0357
59.3846,54.2083,17.8636,14.7037
68.3478,66.8,51.8889,56.0526
95.0769,92.2692,91.9048,81.4583
82.5833,82.1154,47.6667,52.0588
